chapter_id,segment_id,content,keywords,length
0,0,上海人民出版社洪丕谟姜玉珍中国古代算命术右侯富而之也贱或至时人至累也不物奴金或在受仆贫贵长性非或或大其布贵禀古中精得气矣天贱而富所则生贵施贱含贫气天气有天乞贱之厚禀食或后薄施责贫随也有至或操而微水性因蔽不金贱众施而皆之星而气长俗在得初气众贵明敏研信智火厚守高治乘事执衰移归无寡败或合规用性盛庚火木昏或辛数归无衰处蹇赖性于应木仁量丙成祇远丁甲因土盖1之乙因位之成水誉方山处未兴地土情中小太力易者辨柔太变正成叹丰因盖武曰肥金为高性岳深义速仁源重辨慈笃水木而而困生有太刚文四气水烈章柱之象兮明无刚之乃敏情五秀是兮性行临金定多气事足果于于始伤丑春无无未夏终决之之又金日时曰当性无美浅质智姿多须顽木火鄙体决盛盛乃必皆薄聪识貌虽明者者义五二隔顺十一次四相相日时年月节克生气行和寄旺六十四生相十二时十休子甲生肖五方用神二宫死囚五行流年和命宫天干地支阴阳小运大运上海人民出版社洪丕谟姜玉珍算命术修订本古中今世俗国研究古1代中国古代算命术序张荣明在古人的思想观念中，人们的富贵赞贱吉凶祸福，以及死生寿天穷通得失乃至杜场中举货殖营利，着一不取决于冥冥之中非人类自身所能把握的一种力量，身命运是也命运的观点，在古代源远流长由夏经商历周，至春秋时，孔子弟子子夏说：“死生有命，富贵在天”论语颜渊可见孔门弟子是信奉命运的孔子进一步指出：“富而可求也，虽执鞭之士，吾亦为之如不可求，从吾所好论语述而宋国的桓魋有一次想谋害他，孔子声称：“天生德于予，桓魋其如予何”同上总之，在孔子看来，一个人的生死存亡富贵贫贱完全与高悬于天的命运有关，绝非尘世碌碌众生的力量所能改变故孔子又说：“不知命，无以为君子也”论语尧曰墨子似乎是反对信奉命运的墨子说：“王公大人，蒉若意即假如信有命而致行之，则必怠乎听狱治政矣，卿大夫必怠乎治官府矣，农夫必怠乎,"一个人的生死存亡富贵贫贱完全与高悬于天的命运有关,上海人民出版社洪丕谟姜玉珍中国古代算命术右侯富而之也贱或至时人至累也不物奴金或在受仆贫贵长性非或或大其布贵禀古中精得气矣天贱而富所则生贵施贱含贫气天气有天乞贱之厚禀食或后薄施责贫随也有至或操而微水性因蔽不金贱众施而皆之星而气长俗在得初气众贵明敏研信智火厚守高治乘事执衰移归无寡败或合规用性盛庚火木昏或辛数归无衰处蹇赖性于应木仁量丙成祇远丁甲因土盖1之乙因位之成水誉方山处未兴地土情中小太力易者辨柔太变正成叹丰因盖武曰肥金为高性岳深义速仁源重辨慈笃水木而而困生有太刚文四气水烈章柱之象兮明无刚之乃敏情五秀是兮性行临金定多气事足果于于始伤丑春无无未夏终决之之又金日时曰当性无美浅质智姿多须顽木火鄙体决盛盛乃必皆薄聪识貌虽明者者义五二隔顺十一次四相相日时年月节克生气行和寄旺六十四生相十二时十休子甲生肖五方用神二宫死囚五行流年和命宫天干地支阴阳小运大运上海人民出版社洪丕谟姜玉珍算命术修订本古中今世俗国研究古1代中国古代算命术序张荣明在古人的思想观念中,人们的富贵赞贱吉凶祸福,从吾所好论语述而宋国的桓魋有一次想谋害他,以及死生寿天穷通得失乃至杜场中举货殖营利",752
0,1,墨子似乎是反对信奉命运的墨子说：“王公大人，蒉若意即假如信有命而致行之，则必怠乎听狱治政矣，卿大夫必怠乎治官府矣，农夫必怠乎耕稼树艺矣，妇人必急乎纺绩织维矣”墨子非命下如果天下之人皆相信个人的成败得失完全取决于预定的命运，那么个人自然不必勤奋努力，只须静候祸福光临罢了这样一来，王公贵族必然会怠倦于治理政务，农夫妇女必然会怠倦于耕种纺织，结果就会导致“天下必乱矣”显而易见，墨子反对信奉命运，主要是从功利主义的观点出发的道家老子讲“道法自然”道德经二十五章，似乎排斥了天命在人世间的干预或主宰的作用然而庄子却说：“天下有大戒二：其一，命也，知其不可奈何而安之若命，德之至也”庄子人间世由于是命定的，故虽然知道这事没有希望，但还是硬着头皮去做这话显然有点宿命论的气息西汉时代流行谶纬神学，各种方术迷信，诸如巫蛊择日禁忌符应望气卜相杂祀星占蓬勃兴起在这种社会思潮的推波助澜之下，命运的观点更是不胫而走董仲舒扬雄其人，淮南子白虎通诸书，无一不是命运观点的提倡者或信奉者,"主要是从功利主义的观点出发的道家老子讲,似乎排斥了天命在人世间的干预或主宰的作用然而庄子却说,但还是硬着头皮去做这话显然有点宿命论的气息西汉时代流行谶纬神学,其一,农夫妇女必然会怠倦于耕种纺织",431
0,2,在这种社会思潮的推波助澜之下，命运的观点更是不胫而走董仲舒扬雄其人，淮南子白虎通诸书，无一不是命运观点的提倡者或信奉者甚而至于连东汉杰出的无神论者王充，他虽然批判了卜筮祭祀鬼神等等世俗迷信，但是对于命运的观点却深信不疑王充说：“自王公逮庶人，圣贤及下愚，凡有首目之类，含血之属，莫不有命”；“贵贱在命，不在智愚”论衡命禄古人既然信奉命运，自然就殚精竭虑地设计出种种预测命运的方法，以便能趋吉避凶，把握命运这样，算命术也就应运而生中国算命术大抵滥觞于汉代，迭经魏晋南朝的推衍发挥，于唐代始告确立唐人李虚中是算命发展史上的一位重要人物韩愈评论他是：“无所不通，最深于五行书，以人之始生年月日所值日辰枝干，相生胜衰死相王斟酌，推人寿夭贵贱利不利，辄先起其年时，百不失一二其说汪洋奥义，关节开解，万端千绪，参错重出”韩昌黎文集李虚中墓志后来，五代徐子平进一步发展了李氏算命术，使之更加周详完备自此以后，算命术在宋元明清蓬勃发展，命理著作层出不穷，算命术士代有新人,"不在智愚,于唐代始告确立唐人李虚中是算命发展史上的一位重要人物韩愈评论他是,他虽然批判了卜筮祭祀鬼神等等世俗迷信,以人之始生年月日所值日辰枝干,以便能趋吉避凶",427
0,3,”韩昌黎文集李虚中墓志后来，五代徐子平进一步发展了李氏算命术，使之更加周详完备自此以后，算命术在宋元明清蓬勃发展，命理著作层出不穷，算命术士代有新人近代东海乐吾袁树珊诸人皆是个中佼佼者然而古代也有怀疑与不信奉命运的明达之士除墨子之外，屈原曾说：“天命反侧，何罚何佑”楚辞天问意即命运之神颠三倒四，何尝能罚恶佑善呢道教人物指出：“我命在我，不在天地”认为通过掌握道教独特的气功修炼方法，完全能主宰自身的命运至于唐代吕才宋代费衮清代袁枚其人皆目光如炬，洞烛其谬，纷纷援笔作文抨击算命之术，鞭辟入里，锐不可当近代著名学者林惠祥先生著有算命的研究和批判一文，对于古代算命术的荒谬之处进行深入细致的分析与批判算命术当然是一种迷信，在科学昌盛的今日，可不待言而自明但是自从算命术诞生之后，人们对于婚姻嫁娶工商谋富赴考求官，乃至用兵打仗施政方略，自帝王贵族以至于黎民,"不在天地,何尝能罚恶佑善呢道教人物指出,何罚何佑,天命反侧,完全能主宰自身的命运至于唐代吕才宋代费衮清代袁枚其人皆目光如炬",376
0,4,算命术当然是一种迷信，在科学昌盛的今日，可不待言而自明但是自从算命术诞生之后，人们对于婚姻嫁娶工商谋富赴考求官，乃至用兵打仗施政方略，自帝王贵族以至于黎民百姓，无不求助于算命术而企图预测吉凶一千多年来，此道盛行不绝，愈演愈烈即此可见，算命术对于中华民族的观念文化心理结构的影响是极其深刻的洪兄丕谟攻古法律，擅书法，精歧黄，多才多艺，驰誉沪上，近日与其夫人姜君玉珍合著中国古代算命术一书，以大纲见寄，嘱为序言自古医易相通，中医理论与命理学说皆以五行相生相克之理立说，科目虽别，其理一也洪兄坑俪以其中医学殖，自能深解命理学说，发其底蕴，抉其谬误然则该书对于当前传统文化之研究，恐不为无补云是为序1988年8月15日写于华东化工学院文化研究所中国古代算命术再版自序几千年来，我国传统文化中的命理之学，盘根错节影响深广地深入于各个领域如史记汉书金瓶梅红楼梦儒林外史等，都有对命的描述和论说作为一种民俗文化，一种学术课题，我们对此自有批判性研究的必要,"中医理论与命理学说皆以五行相生相克之理立说,以大纲见寄,其理一也洪兄坑俪以其中医学殖,发其底蕴,嘱为序言自古医易相通",420
0,5,如史记汉书金瓶梅红楼梦儒林外史等，都有对命的描述和论说作为一种民俗文化，一种学术课题，我们对此自有批判性研究的必要可以这样说，不了解我国传统的命理文化，就不可能真正了解我国古代的民俗，真正读懂读通我国的优秀传统学术名著然而问题在于，命理之学既是我国文化史学术史上一个重要而无可回避的课题，同时在古代社会中，它又被如此地奉为神明，可是由于多年禁锢的结果，长期以来，我们的学者在这个学术问题上投鼠忌器，裹足不前不仅如此，问题还在于命理文化本身就是一个非常复杂的文化现象，加之在长达数千年的历史长河中，它又不可避免地被掺进了众多的人为因素，其中不仅有反映统治阶级意志的封建伦理道德观，而且更有不计其数算命术士主观上有意无意的掺杂，这就使得本已十分复杂的命理文化更加迷离扑朔，面目难辨，以致不可避免地被深深打上了“封建迷信”的烙印文化和民俗的纠结，学术和迷信的错杂，这就使得当今学者在这一领域的研究探索，带上了极大的艰巨性和科学要求发轫于汉魏之际的古代算命术，撇开江湖术士的那套欺人骗术，单从学术文化角度考察，无疑是博大精深且又自成体系的一个颇值探索的领域作为学术文化，其术推衍的理论依据，主要为阴阳五行，四时干支，属于中国古代哲学系统，或者归入术数的范畴我国古代哲学认为，阴阳是世间万事万物对立统一，相反而又相互促进的两个方面在时序上，春夏属阳，秋冬属阴；在昼夜上，白天属阳，黑夜属阴；在寒暖上，温热属阳，寒凉属阴；在速度上，速的属阳，迟的属阴；在事物性质上，刚的属阳，柔的属阴；在数字上，单数属阳，双数属阴如此等等，推演下去，又有火属阳，水属阴；动属阳，静属阴；外属阳，内属阴；积极属阳，消极属阴；以致于在天文上太阳属阳，月亮属阴；生物上动物属阳，植物属阴等等然而，阴阳的精义还在于，阴阳之中还有阴阳,"不了解我国传统的命理文化,主要为阴阳五行,以致不可避免地被深深打上了,其中不仅有反映统治阶级意志的封建伦理道德观,其术推衍的理论依据",748
0,6,；外属阳，内属阴；积极属阳，消极属阴；以致于在天文上太阳属阳，月亮属阴；生物上动物属阳，植物属阴等等然而，阴阳的精义还在于，阴阳之中还有阴阳以男女来说，男的属阳，女的属阴；可是男的属阳也不是纯阳，而是阳中有阴，女的属阴也不是纯阴，而是阴中有阳原理是：孤阳不生，独阴不长，只有阴阳相互作用，才能使万物生生不息，变化无穷至于五行，古代哲学认为，木火土金水五行是组成自然世界最基本的五种物质基础这五种物质有生有克，生是促进，克是抑制相生的规律是顺次相生，木生火，火生土，土生金，金生水，水生木，周而复始；相克的规律是隔一相克，木克土，土克水，水克火，火克金，金克木，然后又周而复始生克的奥妙在于，“造化之机，不可无生，亦不可无制无生则发育无由，无制则亢而为害”没有生，就没有自然万物的生生不息，也没有世界；而无所抑制，世界就会发生混乱无序的状态，换句话说，即失去了生态平衡，整个自然界将会因此而乱了套为此，关于五行学说，至少可以把它看成为是一种古人认识世界的自然观在五行学说中，五行又与四时干支联系，春属东方甲乙木，夏属南方丙丁火，秋属西方庚辛金，冬属北方壬癸水，,"不可无生,世界就会发生混乱无序的状态,也没有世界,亦不可无制无生则发育无由,克是抑制相生的规律是顺次相生",479
0,7,为此，关于五行学说，至少可以把它看成为是一种古人认识世界的自然观在五行学说中，五行又与四时干支联系，春属东方甲乙木，夏属南方丙丁火，秋属西方庚辛金，冬属北方壬癸水，四季属中央戊已土如再联系具体月份，夏历正月建寅，二月建卯，三月建辰，四月建巳，五月建午，六月建未，七月建申，八月建酉，九月建戌，十月建亥，十一月建子，十二月建丑此外，在时间上，又有子丑寅卯辰巳午未申酉戌亥十二地支分统十二时辰的学说再之，还有地支与生肖的联系，子年生属鼠，丑年生属牛，寅年生属虎，卯年生属兔，辰年生属龙，已年生属蛇，午年生属马，未年生属羊，申年生属猴，酉年生属鸡，戌年生属狗，亥年生属猪的十二生肖观念有了这些理论，再借助于天干地支纪年纪月纪日纪时，命理学的文化工具就齐备了命理学作为一种文化现象，自然有其令人信服的外表魅力，即将人作为自然界中的一个存在，以时间物质季候的确定变化作为依据，从而推测人生的吉凶祸福这比起毫无根据的原始筮术来，无疑要进步得多因此可以这样说，在一定程度上，命理学是以原始朴素的唯物自然观来探究人生奥秘的一种学术当然，由于这种探究最终和科学实际挂不起钩，所以导致了它终于不会走向真理和成功相反，随着无聊文人的穿凿附会，加上各路江湖术士的混水摸鱼，遂使算命术在历史的流程中，变得日益驳杂繁琐，乃至充斥着胡编乱诌，这就使得本已不足为训的算命术，愈来愈趋向了神秘化对此，宋代费衮早在梁溪漫志中就提出质疑：“若生时无同者，则一时生一种人，一日当生十二人,"七月建申,三月建辰,丑年生属牛,九月建戌,二月建卯",623
0,8,历史的流程中，变得日益驳杂繁琐，乃至充斥着胡编乱诌，这就使得本已不足为训的算命术，愈来愈趋向了神秘化对此，宋代费衮早在梁溪漫志中就提出质疑：“若生时无同者，则一时生一种人，一日当生十二人以岁计之，则有四千三百二十人以一甲子计之，止有二十五万九千二百人而已今只以一大郡计，其户口之数尚不减数十万，况举天下之大，自王公大人以至小民，何啻亿兆，虽明于数者，有不能历算，则生时同者，必不为少矣其间王公大人始生之时，则必有庶民同时而生者，又何贵贱贫富之不同也”宋代庄绰鸡肋编卷上还结合实际说：“世之以五行星历论命者多矣，今录贵而终凶者数人方其盛时，未有能言其未至之灾也以此知阴阳家不足深泥，唯正己守道为可恃耳”这里，费衮从同八字者颇多不同命运的事实入手，庄绰从“方其盛时，未有能言其未至之灾也”着眼，文笔犀利，批判有力降至明末，郑仲夔耳新也说：“铅山友人李倩玉国球，与余门人玉山毛诗，年月日时皆同，而李以辛酉发解，毛至癸亥始食饩于庠；李中戊辰进士，授庶吉士，寻卒于官，无子；毛多子而且令，至今犹在诸生中又鹅湖在中上人，与浙江徐进士在中，年月日时亦皆同，又皆名在中，而一为高僧，一为名进士,"一为名进士,一日当生十二人以岁计之,与余门人玉山毛诗,世之以五行星历论命者多矣,今录贵而终凶者数人方其盛时",488
0,9,以辛酉发解，毛至癸亥始食饩于庠；李中戊辰进士，授庶吉士，寻卒于官，无子；毛多子而且令，至今犹在诸生中又鹅湖在中上人，与浙江徐进士在中，年月日时亦皆同，又皆名在中，而一为高僧，一为名进士此四人八字者，星家将何以推算耶”又如连清代命理学家陈素庵相国在命理约言中也认为：“尝考人命富贵贫贱，验者颇多，惟寿天验者较少，盖一念之善，可以延年，一事之恶，足以夺算，苟恃命之生与永，而多行恶事，知命之死与促，而广积阴功，此则爱之不能使生，恶之不能使死，区区八字干支，何足道乎”同书又批判神煞吉凶说：“即如桃花流霞红艳等煞，为男女淫欲之征，然端人正士，烈妇贞女，犯之者甚多且春花无不妖艳，何独桃为淫花干支字面相见，有何红色艳态，神煞诞妄”“又太岁三合之墓，谓之华盖，或以为文章，或以为孤高，亦不足凭也”有意味的是，命理约言在论富贵吉寿，贫贱凶夭时还颇为着力地说：“故凡欲求富贵古寿，而免贫贱凶夭者，当以积善为要，每日自记功过，必期念念皆仁，事事皆善久必如其所愿若恃命之善，而敢于为恶，咎命之薄，而不思挽回，此为天下至愚之人，无志之士矣诸命法皆末耳，是乃要法也”而“诸命法皆末”，“积善为要”的实质，就是说明人定能够胜天，命的吉凶，可以在人的主观作用下得到较大,"一为名进士此四人八字者,一事之恶,事事皆善久必如其所愿若恃命之善,以辛酉发解,何足道乎",521
